NU_SEQUENCIAL;SG_UF_PROVA;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_STATUS_REDACAO;NU_NOTA_REDACAO
2931333;GO;4;1;1;1;1;1;491.5;560.7;575.6;479.6;1;780
3321818;PA;;;1;1;1;1;416.5;453;386.2;418.7;8;0
154585;MG;1;1;1;1;1;1;655.2;672.2;617;764.7;1;820
4106593;SP;;;0;0;0;0;;;;;;
195704;PI;2;1;1;1;1;1;454.3;574.1;618.8;500.3;1;920
1922337;BA;;;1;1;1;1;527.8;540.7;514.5;597.2;1;660
2829131;RJ;4;1;1;1;1;1;692;680.2;696.5;719.3;1;760
1862279;AP;2;1;1;1;1;1;442.7;450.5;478.9;415.6;1;560
1868922;ES;2;1;1;1;1;1;472.8;533.6;557.3;486.7;1;600
204845;RO;;;0;0;0;0;;;;;;
569811;SP;;;1;1;1;1;529.3;598.9;597.4;581.1;1;600
3694424;GO;;;0;0;0;0;;;;;;
3825558;SC;;;1;1;1;1;380.6;483.7;460.9;383.8;1;560
1588557;BA;1;1;1;1;1;1;625.1;656.9;630.4;668.6;1;900
4072114;PR;;;1;1;1;1;459;610.5;607.7;498.9;1;720
1961035;SE;;;1;1;1;1;411.9;423.2;384.7;463.7;1;420
2765014;PR;;;1;1;1;1;595.2;605.8;491.4;683.4;1;920
3662402;SP;2;1;1;1;1;1;507.3;577.2;598.8;644.3;1;660
2855342;ES;;;1;1;1;1;602.9;535.2;520.6;449;1;660
926885;RN;2;1;1;1;1;1;563.9;597.7;581.8;678.9;1;860
601684;MS;;;0;0;0;0;;;;;;
1845496;RS;2;1;1;1;1;1;574.1;623.9;587.8;605.9;1;800
166523;PE;2;1;1;1;1;1;361.4;382.1;371.4;423.1;1;360
2248877;GO;1;2;1;1;1;1;533.3;545.7;564.5;474.4;1;820
850964;SP;2;1;1;1;1;1;546.6;519.4;556.3;551.2;1;840
550592;AM;2;1;1;1;1;1;453.4;523.5;537.4;397.7;1;600
3216026;PE;;;1;1;1;1;456.9;456.2;511;372.7;1;520
1525249;CE;;;0;0;0;0;;;;;;
696081;GO;;;1;1;1;1;540.3;505.5;573.5;681.5;1;620
237086;ES;4;1;1;1;1;1;663.2;699.8;599.6;767.6;1;900
1893754;RO;;;1;1;1;1;615.7;682.8;613.4;537.1;1;740
449578;PB;;;1;1;1;1;443.7;492;474.3;417.1;1;860
359321;MG;;;1;1;1;1;445.6;498.8;489.6;438.7;1;680
945174;CE;2;1;0;0;0;0;;;;;;
808829;RS;;;0;0;0;0;;;;;;
1948668;RR;2;1;1;1;1;1;384.3;430;413.4;579.7;1;700
1554380;CE;;;1;1;1;1;446.4;525.3;522.9;424;1;560
1802621;PA;;;1;1;1;1;522.8;430.1;492.6;431.5;1;480
1802921;PB;;;0;0;0;0;;;;;;
831316;PE;;;1;1;1;1;483.5;607.6;582.4;721.3;1;900
656705;SP;;;1;1;1;1;478.6;559.6;519.8;416.7;1;480
4315623;RS;;;0;1;1;0;;388.8;486;;4;0
39064;AL;;;0;0;0;0;;;;;;
3336351;PR;2;1;0;1;1;0;;562.9;571.5;;1;560
64465;MA;2;1;0;0;0;0;;;;;;
4182626;SP;;;1;1;1;1;534.6;488.7;583.4;398.7;1;560
3035189;RS;;;1;1;1;1;486.2;626.7;617;643.9;1;620
2007987;GO;;;1;1;1;1;405.7;410;469.1;416.1;1;320
3785077;SP;;;0;1;1;0;;508;518;;1;640
376788;GO;;;0;0;0;0;;;;;;
3987661;MG;;;1;1;1;1;458.6;559.4;531.1;519.7;1;540
1696652;BA;2;1;1;1;1;1;473.9;470.8;500.5;384.6;1;480
349353;SP;2;1;1;1;1;1;538.4;569.8;595.8;443.4;1;880
2407321;BA;2;1;1;1;1;1;526.2;584.9;568.6;644.2;1;840
972827;PI;2;1;1;1;1;1;382.5;407.3;533.3;389.1;1;480
547204;GO;;;0;0;0;0;;;;;;
1107297;GO;;;0;0;0;0;;;;;;
3235421;PA;2;1;0;0;0;0;;;;;;
3747508;BA;;;1;1;1;1;478;415.4;496.2;442.2;1;540
4086266;PA;;;1;1;1;1;399.1;496.7;494.8;483.9;1;640
217908;SP;4;1;1;1;1;1;696.4;714.8;648.4;726.2;1;920
1786343;RJ;;;0;1;1;0;;449;498.3;;1;460
2799721;PB;;;1;1;1;1;445.3;379.3;496.6;483.4;1;660
4234801;SP;;;0;0;0;0;;;;;;
3466530;BA;;;1;1;1;1;387.4;436.9;450.9;456;1;440
203135;DF;;;1;1;1;1;484;494.4;543.7;408.7;1;540
3003100;PE;2;1;1;1;1;1;452.8;402.4;418.9;377.2;8;0
2115723;MA;;;0;0;0;0;;;;;;
2597109;RS;;;1;1;1;1;367.4;389.7;381.3;408.9;9;0
3392210;ES;;;1;1;1;1;551.6;504.3;539.1;633.9;1;800
753548;RS;;;1;1;1;1;640.3;659.5;615.7;559.4;1;880
3801423;PA;2;1;1;1;1;1;457.7;486.3;541;465.9;1;680
4314796;RS;;;0;0;0;0;;;;;;
2754192;AM;2;2;0;0;0;0;;;;;;
2859650;PB;;;0;0;0;0;;;;;;
2869201;RS;4;1;1;1;1;1;510.6;589;515;669.1;1;780
866473;MG;;;1;1;1;1;421.3;486.2;491.2;425.6;1;560
3624075;AM;;;0;0;0;0;;;;;;
3304111;BA;;;1;1;1;1;604.4;661;637.3;754.7;1;840
863792;SP;2;1;1;1;1;1;475.3;560.8;572.7;611.3;1;740
725617;AC;;;1;1;1;1;390.3;387;426.4;407.9;1;160
199278;BA;2;1;1;1;1;1;397.5;518.7;522.1;534.6;1;760
2195281;SP;4;1;1;1;1;1;564.7;552.7;559.9;650.4;1;700
3878295;PR;;;0;1;1;0;;644.6;629.1;;1;880
2072772;GO;;;1;1;1;1;461.4;530.6;515.6;484.3;1;640
2205426;SC;2;1;0;0;0;0;;;;;;
1450563;PB;2;1;1;1;1;1;391;380.9;365.4;531.5;4;0
43144;PR;;;0;0;0;0;;;;;;
3419986;BA;2;1;0;0;0;0;;;;;;
126741;MG;;;1;1;1;1;606.6;565.1;583.1;594.7;1;920
219150;MG;;;1;1;1;1;558.8;606.1;584.7;537.4;1;900
3195234;MT;2;1;0;0;0;0;;;;;;
1121785;PB;2;1;1;1;1;1;417;473.5;564.1;456.7;1;700
2575645;RS;4;1;1;1;1;1;514.8;548.5;546;665.5;1;800
2351310;SP;;;0;0;0;0;;;;;;
1605868;MG;;;1;1;1;1;535.1;631.5;626.9;733.2;1;900
824637;PA;;;1;1;1;1;531.4;584.5;611.5;634.9;1;840
711100;BA;;;1;1;1;1;606.1;636.1;609.9;518.3;1;860
1727545;PA;2;1;0;0;0;0;;;;;;
1150292;RS;;;1;1;1;1;374.7;429.4;409.6;477.3;1;520
3733294;MS;;;0;0;0;0;;;;;;
85739;CE;2;1;1;1;1;1;576.8;581.4;592.6;640.8;1;900
1750500;BA;;;1;1;1;1;492.2;541.3;516.6;639.3;1;880
3964692;CE;;;1;1;1;1;524;566.8;513.9;438;1;680
3525959;MA;2;1;1;1;1;1;429.9;406;457.7;392.3;1;600
180157;BA;;;1;1;1;1;407.2;465.7;498.6;494.8;1;560
803573;RO;;;1;1;1;1;441.4;467.1;497.4;425.8;1;360
1607594;SP;2;1;0;0;0;0;;;;;;
127860;MG;4;1;1;1;1;1;649.4;705.8;663;736.2;1;960
1084284;PB;;;1;1;1;1;496.3;411.1;439.6;460;1;600
2076931;RO;2;1;1;1;1;1;499.8;306.6;544.8;452.9;1;580
1291054;RS;;;0;0;0;0;;;;;;
3444211;PE;;;1;1;1;1;420.4;443.6;480.6;380.2;1;640
1223201;MA;;;0;0;0;0;;;;;;
2444372;SP;2;1;1;1;1;1;565.5;570.2;554.1;680.8;1;680
3851218;PR;;;0;0;0;0;;;;;;
305210;PA;2;1;1;1;1;1;523;613.9;570.1;526.3;1;920
1895293;RN;;;1;1;1;1;482.9;527.5;533.4;518;1;620
596998;RS;2;1;1;1;1;1;447.4;572.5;578.8;642.6;1;580
372850;RN;;;1;1;1;1;441.1;492.9;500.1;637.4;1;940
1566161;BA;;;0;0;0;0;;;;;;
1869625;ES;;;0;0;0;0;;;;;;
