CO_ENTIDADE;NO_MUNICIPIO;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;TP_SITUACAO_FUNCIONAMENTO;QT_MAT_BAS;QT_DOC_BAS;QT_TUR_BAS;QT_SALAS_UTILIZADAS;IN_INTERNET;IN_BIBLIOTECA;IN_AGUA_POTAVEL;IN_ENERGIA_INEXISTENTE
13012533;Alvarães;2;1;0;1;783;30;27;9;1;0;1;0
13012568;Alvarães;2;1;0;1;603;25;20;8;0;0;1;0
13012584;Alvarães;3;2;0;1;9;1;1;1;1;0;1;0
13012592;Alvarães;3;2;0;1;23;2;2;1;0;0;1;0
13012630;Alvarães;3;2;0;1;53;4;4;2;1;0;1;0
13012665;Alvarães;3;2;0;1;41;3;3;1;0;0;1;0
13012690;Alvarães;3;2;0;1;27;2;2;2;1;0;1;0
13012703;Alvarães;3;2;0;1;44;2;3;1;0;0;1;0
13012720;Alvarães;3;2;2;1;118;9;9;4;1;1;1;0
13012746;Alvarães;3;2;0;1;6;1;1;1;0;0;1;0
13012754;Alvarães;3;2;0;1;106;10;9;3;1;0;1;0
13012789;Alvarães;3;2;0;1;28;2;2;1;1;0;1;0
13012797;Alvarães;3;2;0;1;11;1;1;1;0;0;1;0
13012827;Alvarães;3;2;0;1;147;10;12;4;1;1;1;0
13012843;Alvarães;3;2;2;1;117;10;9;4;1;0;1;0
13012851;Alvarães;3;2;2;1;230;23;16;9;1;0;1;0
13012860;Alvarães;3;2;0;1;10;1;1;1;0;0;1;0
13012878;Alvarães;3;2;0;1;16;1;1;1;1;0;1;0
13012924;Alvarães;3;2;0;1;99;7;8;2;1;0;1;0
13012932;Alvarães;3;2;0;1;101;9;8;4;1;1;1;0
13012940;Alvarães;3;2;2;1;41;3;3;3;1;0;0;0
13012967;Alvarães;3;2;0;1;137;9;8;5;1;1;1;0
13012975;Alvarães;3;2;3;1;114;8;9;4;1;0;1;0
13012991;Alvarães;3;2;2;1;85;9;8;4;1;1;1;0
13013017;Alvarães;3;2;0;1;51;5;4;3;1;0;1;0
13013025;Alvarães;3;2;0;1;12;1;1;2;1;0;1;0
13013033;Alvarães;2;1;0;1;396;16;12;6;0;0;1;0
13013041;Alvarães;3;2;0;1;9;1;1;1;0;0;1;0
13057790;Alvarães;3;2;0;1;22;2;2;2;0;0;1;0
13058002;Alvarães;3;2;0;1;26;2;2;2;1;0;1;0
13066242;Alvarães;3;2;0;1;234;16;12;9;1;0;1;0
13067540;Alvarães;3;2;0;1;40;3;3;2;1;0;1;0
13069845;Alvarães;3;2;2;1;99;7;6;4;1;0;1;0
13069853;Alvarães;3;2;0;1;40;4;4;1;0;0;1;0
13069861;Alvarães;3;2;0;1;27;2;3;1;1;0;1;0
13069870;Alvarães;3;2;2;1;33;2;3;2;1;0;0;0
13069888;Alvarães;3;2;0;1;46;2;3;1;1;0;1;0
13069900;Alvarães;3;2;0;1;17;1;1;1;0;0;1;0
13069934;Alvarães;3;2;2;1;12;1;1;1;1;0;1;0
13069942;Alvarães;3;2;2;1;24;2;2;1;1;0;0;0
13069950;Alvarães;3;1;0;1;579;39;23;12;0;1;1;0
13072137;Alvarães;3;2;0;1;41;2;3;2;1;0;1;0
13076469;Alvarães;3;2;0;1;8;1;1;1;1;0;1;0
13076477;Alvarães;3;2;0;1;11;1;1;1;1;0;1;0
13076507;Alvarães;3;2;2;1;27;2;2;1;1;0;1;0
13087312;Alvarães;3;2;2;1;43;3;3;2;0;0;1;0
13088262;Alvarães;3;2;0;1;7;1;1;1;1;0;0;0
13088270;Alvarães;3;2;2;1;65;4;4;3;1;0;1;0
13093908;Alvarães;2;1;0;1;123;21;4;8;1;1;1;0
13096753;Alvarães;3;1;0;1;439;25;16;11;1;1;1;0
13096788;Alvarães;3;2;0;1;21;2;2;1;1;0;1;0
13096796;Alvarães;3;2;0;1;8;1;1;1;0;0;1;0
13097458;Alvarães;3;2;0;1;24;1;2;1;1;0;1;0
13099264;Alvarães;3;2;0;1;43;3;3;2;0;0;1;0
13103610;Alvarães;2;2;0;1;89;34;5;5;1;0;1;0
13104462;Alvarães;3;2;0;1;17;2;2;1;0;0;1;0
13104470;Alvarães;3;2;0;1;18;2;3;1;0;0;1;0
13104594;Alvarães;3;2;0;1;49;3;4;1;0;0;1;0
13219200;Alvarães;2;2;0;1;110;37;8;8;1;0;1;0
13264249;Alvarães;3;2;0;1;23;2;3;1;0;0;1;0
13307363;Alvarães;3;2;0;1;8;1;1;1;0;0;1;0
13312219;Alvarães;3;1;0;1;711;30;32;17;1;0;1;0
13004298;Amaturá;3;2;0;1;263;10;12;7;1;0;1;0
13004301;Amaturá;2;1;;2;;;;;;;;
13004310;Amaturá;3;2;0;1;159;7;8;5;1;0;1;0
13004425;Amaturá;3;2;2;1;135;7;9;4;1;0;1;0
13004468;Amaturá;3;2;2;1;352;21;19;8;1;0;1;0
13004484;Amaturá;3;2;2;1;93;5;6;3;1;0;1;0
13004549;Amaturá;3;2;0;1;79;5;5;4;1;0;1;0
13061011;Amaturá;3;2;2;1;24;2;2;2;1;0;1;0
13061038;Amaturá;3;2;2;1;119;5;6;3;1;0;1;0
13061070;Amaturá;3;2;2;1;144;6;7;4;1;0;1;0
13061100;Amaturá;3;2;0;1;12;1;1;1;0;0;1;1
13061127;Amaturá;3;1;0;1;368;21;23;12;1;1;1;0
13067729;Amaturá;3;2;;2;;;;;;;;
13079492;Amaturá;3;2;2;1;18;1;1;1;1;0;1;0
13079506;Amaturá;3;2;2;1;59;3;4;2;1;0;1;0
13083287;Amaturá;3;2;0;1;14;1;1;2;0;0;1;0
13083309;Amaturá;2;1;0;1;792;39;31;13;1;1;1;0
13091042;Amaturá;3;2;2;1;14;1;1;1;1;0;1;0
13097105;Amaturá;3;1;0;1;232;10;12;6;0;1;1;0
13097733;Amaturá;2;1;0;1;66;17;2;5;1;0;1;0
13099361;Amaturá;2;2;0;1;112;38;9;9;1;0;1;0
13100076;Amaturá;3;2;2;1;191;11;10;5;1;0;1;0
13102400;Amaturá;3;1;;2;;;;;;;;
13102770;Amaturá;3;2;2;1;17;1;1;1;1;0;1;0
13103431;Amaturá;2;2;2;1;303;38;15;6;1;0;1;0
13103601;Amaturá;3;2;2;1;91;4;5;4;0;0;1;0
13104764;Amaturá;3;2;2;1;22;2;1;1;0;0;1;1
13109960;Amaturá;3;2;2;1;14;2;2;3;0;0;1;1
13109979;Amaturá;3;1;0;1;420;30;24;16;0;1;1;0
13145207;Amaturá;3;2;0;1;43;2;2;2;1;0;1;0
13238213;Amaturá;2;2;2;1;39;34;5;5;1;0;1;0
13014269;Anamã;3;2;0;1;49;5;4;3;1;0;1;0
13014293;Anamã;2;2;0;1;110;37;9;4;1;1;1;0
13014307;Anamã;2;1;0;1;236;11;9;6;1;1;1;0
13014358;Anamã;3;2;0;1;63;6;5;3;1;0;1;0
13014390;Anamã;3;2;0;1;91;6;6;2;1;0;1;0
13014447;Anamã;3;2;2;1;21;1;1;1;0;1;1;0
13014480;Anamã;3;2;0;1;38;5;5;4;1;0;1;0
13014498;Anamã;3;2;2;1;69;5;4;2;0;0;1;0
13014528;Anamã;3;2;0;1;17;1;1;3;0;0;1;0
13014587;Anamã;3;2;0;1;34;2;2;2;0;0;1;0
13014668;Anamã;3;2;0;1;54;6;5;4;1;0;1;0
13014684;Anamã;3;2;2;1;77;5;4;4;1;0;1;0
13014781;Anamã;2;2;0;1;124;40;9;9;1;1;1;0
13014790;Anamã;2;1;0;1;154;7;6;3;1;0;1;0
13014803;Anamã;2;1;0;1;371;22;16;6;1;1;1;0
13014820;Anamã;3;2;0;1;41;5;4;4;1;0;1;0
13062018;Anamã;3;2;0;1;20;1;1;2;0;0;1;0
13062026;Anamã;3;2;0;1;46;2;2;1;1;0;1;0
13065068;Anamã;3;2;0;1;54;3;3;3;0;0;1;0
13065076;Anamã;3;2;0;1;126;5;8;2;0;0;1;0
13080628;Anamã;3;2;0;1;61;6;6;3;1;0;1;0
13089340;Anamã;3;1;0;1;196;17;8;7;1;1;1;0
13094262;Anamã;2;1;0;1;236;30;6;6;1;0;1;0
13094971;Anamã;3;1;0;1;291;13;16;8;1;0;1;0
13101854;Anamã;3;2;0;1;64;6;6;3;1;0;1;0
13102559;Anamã;3;1;0;1;345;17;16;8;1;1;1;0
13103130;Anamã;2;2;0;1;65;32;5;5;1;0;1;0
13104691;Anamã;3;2;0;1;94;5;5;5;1;0;1;0
13104705;Anamã;3;2;0;1;90;6;7;4;1;1;1;0
13220209;Anamã;2;2;0;1;38;34;6;6;1;0;1;0
13014846;Anori;2;1;0;1;600;36;22;15;1;1;1;0
13014862;Anori;3;2;0;1;141;10;10;5;0;0;1;0
13014870;Anori;3;2;;3;;;;;;;;
13014897;Anori;3;2;0;1;10;1;1;1;0;0;1;0
13014900;Anori;3;2;;3;;;;;;;;
13014994;Anori;3;2;0;1;196;11;11;7;0;0;1;0
13015060;Anori;3;2;;2;;;;;;;;
13015109;Anori;3;2;0;1;120;10;9;7;0;0;1;0
13015184;Anori;3;2;0;1;8;1;1;2;0;0;1;1
13015206;Anori;3;2;0;1;4;1;1;2;0;0;1;0
13015230;Anori;3;2;0;1;20;1;2;2;0;0;1;1
13015249;Anori;3;2;;3;;;;;;;;
13015273;Anori;2;1;0;1;605;26;23;9;1;0;1;0
13015281;Anori;2;1;0;1;408;28;21;22;0;1;1;0
13015290;Anori;3;2;;2;;;;;;;;
13015311;Anori;3;2;0;1;40;3;3;2;0;0;1;1
13015320;Anori;3;1;0;1;507;29;24;11;1;1;1;0
13015516;Anori;3;2;8;1;93;5;5;3;1;0;0;0
13015613;Anori;3;2;8;1;109;6;8;4;0;0;1;0
13015656;Anori;3;2;2;1;61;4;3;2;0;0;1;1
13015710;Anori;3;2;8;1;35;4;3;2;0;0;0;0
13015818;Anori;3;2;8;1;24;1;2;1;0;0;0;1
13062190;Anori;3;2;0;1;42;5;4;5;0;0;1;1
13070690;Anori;3;2;;3;;;;;;;;
13070703;Anori;3;1;0;1;341;18;16;10;0;0;1;0
13075993;Anori;3;2;2;1;9;1;1;1;0;0;1;1
13084763;Anori;3;1;0;1;392;17;18;9;0;1;1;0
13096184;Anori;3;2;2;1;15;1;2;1;0;0;1;1
13096249;Anori;3;2;2;1;17;2;2;1;0;0;1;1
13103954;Anori;2;1;0;1;259;41;7;10;1;0;1;0
13105507;Anori;3;1;0;1;198;11;14;7;1;1;1;0
13109383;Anori;3;2;8;1;7;1;1;1;0;0;1;1
13109391;Anori;3;2;8;1;12;1;2;1;0;0;1;1
13109871;Anori;3;2;0;1;34;5;4;2;0;0;1;1
13109880;Anori;3;1;0;1;356;27;16;12;0;1;1;0
13220250;Anori;2;2;0;1;115;39;10;10;1;0;1;0
13048368;Apuí;3;2;;2;;;;;;;;
13048520;Apuí;3;2;0;1;151;14;10;10;1;0;1;0
13048619;Apuí;2;1;0;1;667;30;31;12;1;1;1;0
13054546;Apuí;3;2;;2;;;;;;;;
13054791;Apuí;3;2;;2;;;;;;;;
13054996;Apuí;3;2;0;1;147;14;9;9;1;0;1;0
13059203;Apuí;2;1;0;1;733;24;27;11;1;1;1;0
13070720;Apuí;3;2;0;1;126;11;9;10;1;1;1;0
13070738;Apuí;3;1;0;1;350;24;22;11;1;1;1;0
13079905;Apuí;3;1;0;1;218;15;12;8;1;1;1;0
13083112;Apuí;3;1;0;1;629;35;30;16;1;1;1;0
13083147;Apuí;3;2;;2;;;;;;;;
13083155;Apuí;3;2;;2;;;;;;;;
13083163;Apuí;3;2;;2;;;;;;;;
13083228;Apuí;3;2;;2;;;;;;;;
13093878;Apuí;2;1;0;1;186;33;6;7;1;1;1;0
13095374;Apuí;3;2;;2;;;;;;;;
13097440;Apuí;3;1;;2;;;;;;;;
13106147;Apuí;3;2;0;1;52;2;2;2;1;0;1;0
13107763;Apuí;3;1;0;1;268;21;13;7;1;0;1;0
13139207;Apuí;3;2;0;1;63;2;2;2;1;0;1;0
13220268;Apuí;2;2;0;1;109;37;9;9;1;0;0;0
13108883;Apuí;3;2;0;1;213;11;12;14;1;1;1;0
13109847;Apuí;3;2;0;1;70;4;4;2;1;0;1;0
13004620;Atalaia do Norte;3;2;2;1;24;2;2;2;1;0;1;1
13004646;Atalaia do Norte;3;2;0;1;38;3;3;2;1;0;0;0
13004662;Atalaia do Norte;3;2;0;1;65;2;4;2;1;1;0;0
13004689;Atalaia do Norte;3;2;2;1;145;8;7;6;1;0;1;0
13004697;Atalaia do Norte;3;2;2;1;184;10;10;5;1;0;1;1
13004719;Atalaia do Norte;3;1;0;1;630;29;25;13;1;0;1;0
13004735;Atalaia do Norte;3;2;2;1;19;3;2;2;1;0;1;1
13004751;Atalaia do Norte;3;2;2;1;53;2;3;3;1;0;1;1
13004786;Atalaia do Norte;3;2;2;1;75;3;4;3;0;0;1;1
13004794;Atalaia do Norte;3;2;2;1;4;1;1;1;1;0;1;1
13004808;Atalaia do Norte;3;2;0;1;38;2;3;2;1;0;0;0
13004816;Atalaia do Norte;3;2;0;1;28;3;4;2;0;0;0;1
13004832;Atalaia do Norte;3;2;0;1;3;1;1;1;0;0;0;0
13004840;Atalaia do Norte;2;1;0;1;568;20;21;8;1;0;1;0
13004883;Atalaia do Norte;3;2;2;1;45;3;3;3;1;0;1;0
13004930;Atalaia do Norte;3;2;2;1;12;1;1;1;1;0;1;1
13004948;Atalaia do Norte;2;1;0;1;215;13;9;3;0;0;1;0
13004956;Atalaia do Norte;2;2;0;1;126;37;14;5;0;1;1;0
13004964;Atalaia do Norte;2;1;0;1;636;47;28;10;1;1;1;0
13004972;Atalaia do Norte;2;2;0;1;76;36;10;4;0;0;1;0
13064266;Atalaia do Norte;3;2;2;1;28;3;3;4;1;0;1;1
13069586;Atalaia do Norte;3;2;2;1;6;1;1;2;1;0;1;1
13069594;Atalaia do Norte;3;2;2;1;5;1;1;2;1;0;1;1
13074121;Atalaia do Norte;3;2;2;1;53;3;3;2;1;0;1;1
13080601;Atalaia do Norte;3;2;;2;;;;;;;;
13080610;Atalaia do Norte;3;2;2;1;27;2;2;1;1;0;1;0
13080644;Atalaia do Norte;3;2;2;1;9;1;1;1;1;0;1;1
13080652;Atalaia do Norte;3;2;0;1;69;4;5;3;1;0;0;1
13080660;Atalaia do Norte;3;2;2;1;11;1;1;1;0;0;1;1
13080679;Atalaia do Norte;3;2;2;1;33;2;2;2;1;0;1;1
13082779;Atalaia do Norte;3;2;2;1;22;2;2;2;1;0;1;1
13082787;Atalaia do Norte;3;2;2;1;8;1;1;1;1;0;1;1
13082795;Atalaia do Norte;3;2;2;1;26;1;2;2;1;0;1;0
13082809;Atalaia do Norte;3;2;2;1;4;1;1;1;1;0;1;1
13082817;Atalaia do Norte;3;2;2;1;31;2;2;1;1;0;0;1
13082825;Atalaia do Norte;3;2;2;1;12;1;1;2;1;0;1;1
13084593;Atalaia do Norte;3;2;2;1;4;1;1;1;1;0;1;1
13090275;Atalaia do Norte;3;2;2;1;11;2;2;1;0;0;0;1
13094777;Atalaia do Norte;3;1;0;1;201;15;8;8;1;0;1;0
13094785;Atalaia do Norte;3;2;0;1;41;3;4;2;1;0;0;0
13094823;Atalaia do Norte;3;2;0;1;51;2;4;2;1;0;0;0
13094874;Atalaia do Norte;3;2;0;1;5;1;1;1;0;0;0;1
13096451;Atalaia do Norte;2;1;0;1;245;40;7;11;1;0;1;0
13098756;Atalaia do Norte;3;2;2;1;21;1;1;1;0;0;1;1
13098772;Atalaia do Norte;3;2;2;1;33;2;2;2;1;0;1;1
13098780;Atalaia do Norte;3;2;0;1;23;1;3;1;0;0;0;0
13100084;Atalaia do Norte;3;2;2;1;33;2;2;2;1;0;1;1
13100092;Atalaia do Norte;3;2;2;1;12;1;2;2;1;0;1;1
13100106;Atalaia do Norte;3;2;2;1;24;2;2;2;1;0;1;1
13100114;Atalaia do Norte;3;2;2;1;5;1;1;1;1;0;1;1
13100599;Atalaia do Norte;3;2;2;1;36;2;2;2;1;0;1;1
13100823;Atalaia do Norte;3;2;2;1;68;3;2;2;0;0;1;1
13100831;Atalaia do Norte;3;2;2;1;35;3;2;2;1;0;1;1
13101471;Atalaia do Norte;3;2;2;1;22;2;2;1;1;0;1;1
13101480;Atalaia do Norte;3;2;2;1;49;3;2;1;1;0;1;1
13102974;Atalaia do Norte;3;2;2;1;47;3;2;2;1;0;1;1
13102982;Atalaia do Norte;3;2;2;1;12;1;1;1;1;0;1;1
13102990;Atalaia do Norte;3;2;2;1;15;2;2;1;1;0;1;1
13103040;Atalaia do Norte;3;2;2;1;21;2;2;2;1;0;1;1
13105086;Atalaia do Norte;3;2;0;1;12;1;2;1;0;0;0;1
13105612;Atalaia do Norte;3;2;2;1;7;1;1;1;1;0;1;1
13105620;Atalaia do Norte;3;2;2;1;7;1;1;1;1;0;1;1
13105639;Atalaia do Norte;3;1;;2;;;;;;;;
13106457;Atalaia do Norte;4;1;0;1;64;6;7;6;0;0;1;0
13106716;Atalaia do Norte;3;2;2;1;29;3;4;2;1;0;1;1
13106732;Atalaia do Norte;3;2;2;1;54;2;2;1;1;0;1;1
13106740;Atalaia do Norte;3;2;2;1;37;4;4;1;1;0;1;1
13109006;Atalaia do Norte;3;2;2;1;20;2;2;2;1;0;1;1
13109405;Atalaia do Norte;3;2;2;1;40;3;3;2;1;0;1;1
13109600;Atalaia do Norte;3;2;2;1;34;2;2;2;1;0;1;1
13109839;Atalaia do Norte;3;1;0;1;518;22;23;15;1;1;1;0
13122002;Atalaia do Norte;3;2;0;1;102;8;11;5;0;0;1;0
13122207;Atalaia do Norte;3;1;0;1;558;29;20;11;1;0;1;0
13222210;Atalaia do Norte;2;2;;2;;;;;;;;
13247212;Atalaia do Norte;3;2;0;1;21;1;2;1;0;0;0;1
13249207;Atalaia do Norte;3;2;0;1;67;9;9;6;1;1;1;0
13251201;Atalaia do Norte;3;2;0;1;55;5;5;3;1;0;0;1
13307410;Atalaia do Norte;2;2;0;1;725;65;102;73;1;0;1;0
13018990;Autazes;2;1;0;1;384;25;20;10;0;1;1;0
13019007;Autazes;2;1;0;1;1106;51;43;19;1;1;1;0
13019058;Autazes;3;2;2;1;94;6;5;5;0;0;1;0
13019082;Autazes;3;2;2;1;139;8;9;10;1;0;1;0
13019104;Autazes;3;2;0;1;215;11;11;8;1;1;1;0
13019112;Autazes;3;2;0;1;34;3;3;3;1;0;1;0
13019163;Autazes;3;2;0;1;157;12;11;8;1;1;1;0
13019201;Autazes;3;2;2;1;174;7;10;5;1;0;1;0
13019252;Autazes;3;2;0;1;202;13;12;10;1;0;1;0
13019287;Autazes;3;2;0;1;75;7;6;6;0;0;1;0
13019368;Autazes;3;2;0;1;34;2;2;2;0;0;1;0
13019384;Autazes;3;2;0;1;33;2;2;2;0;0;1;0
13019422;Autazes;3;2;0;1;22;1;1;1;0;0;1;0
13019481;Autazes;3;2;0;1;30;5;3;4;0;0;1;1
13019562;Autazes;3;2;0;1;219;13;12;8;1;1;1;0
13019570;Autazes;3;2;0;1;77;6;5;4;1;1;1;0
13019589;Autazes;2;1;0;1;546;31;25;11;0;1;1;0
13019597;Autazes;3;2;0;1;162;12;11;11;1;0;1;0
13019627;Autazes;3;2;2;1;218;12;11;10;1;0;1;0
13019635;Autazes;3;2;0;1;128;8;8;7;0;0;1;0
13019708;Autazes;3;2;0;1;80;7;6;6;0;0;1;0
13019805;Autazes;3;2;1;1;82;7;6;6;1;0;1;0
13019813;Autazes;3;2;2;1;154;8;9;7;1;0;1;0
13019848;Autazes;3;2;0;1;183;10;11;7;1;1;1;0
13019864;Autazes;3;2;2;1;415;22;21;11;1;0;1;0
13019899;Autazes;3;2;0;1;449;22;21;13;1;1;1;0
13019945;Autazes;3;2;;2;;;;;;;;
13019961;Autazes;3;2;0;1;257;13;13;7;1;1;1;0
13019996;Autazes;3;2;0;1;177;11;10;10;1;0;1;0
13020005;Autazes;3;2;0;1;70;6;5;5;1;0;1;0
13020021;Autazes;3;2;2;1;100;8;7;4;1;0;1;0
13020137;Autazes;3;1;0;1;724;41;42;20;1;0;1;0
13056611;Autazes;3;2;0;1;76;7;6;5;1;1;1;0
13056913;Autazes;3;2;0;1;106;7;6;6;1;0;1;0
13057294;Autazes;3;2;2;1;28;3;3;2;0;0;1;0
13059548;Autazes;2;1;0;1;1401;62;46;13;1;1;1;0
13064509;Autazes;2;1;0;1;468;16;16;8;0;0;1;0
13066889;Autazes;3;2;0;1;401;19;20;10;1;0;1;0
13066927;Autazes;3;2;2;1;143;11;10;5;0;0;1;0
13067222;Autazes;3;2;0;1;177;11;10;10;1;0;1;0
13070266;Autazes;3;2;0;1;365;16;18;11;1;1;1;0
13081322;Autazes;3;2;2;1;43;3;3;4;0;0;1;0
13088475;Autazes;3;2;0;1;55;5;4;4;1;0;1;0
13089854;Autazes;3;2;1;1;133;7;6;4;1;0;1;0
13091573;Autazes;3;1;;2;;;;;;;;
13094483;Autazes;2;1;0;1;234;31;6;16;1;1;1;0
13098063;Autazes;3;1;0;1;;;;3;1;1;1;0
13100009;Autazes;3;2;;2;;;;;;;;
13100025;Autazes;3;2;0;1;37;2;2;2;1;0;1;0
13100033;Autazes;3;2;0;1;369;17;15;10;1;0;1;0
13100041;Autazes;3;2;0;1;45;3;3;3;0;0;1;1
13100050;Autazes;3;2;0;1;20;3;3;3;0;0;1;0
13101943;Autazes;3;2;1;1;75;6;5;7;1;0;1;0
13102877;Autazes;3;1;0;1;484;26;20;10;1;0;1;0
13103148;Autazes;2;2;2;1;219;45;19;17;1;0;1;0
13103334;Autazes;3;1;0;1;226;16;13;9;1;0;1;0
13106384;Autazes;2;2;0;1;201;40;10;6;1;1;1;0
13109855;Autazes;3;1;0;1;221;13;15;5;0;0;1;0
13109863;Autazes;3;2;2;1;93;5;5;5;0;0;1;0
13109898;Autazes;3;2;0;1;18;1;1;1;0;0;1;1
13221205;Autazes;2;2;0;1;416;57;29;31;1;0;1;0
13000055;Barcelos;3;2;;2;;;;;;;;
13000110;Barcelos;3;2;0;1;22;3;3;1;0;0;1;0
13000128;Barcelos;3;2;0;1;13;2;2;1;0;0;1;0
13000136;Barcelos;2;1;0;1;506;33;16;8;1;0;1;0
13000144;Barcelos;3;1;0;1;128;14;7;4;0;0;1;0
13000179;Barcelos;3;2;0;1;43;4;5;3;0;1;1;0
13000187;Barcelos;3;2;0;1;11;2;2;1;0;0;1;1
13000225;Barcelos;3;2;0;1;28;2;3;1;0;0;1;0
13000241;Barcelos;3;2;0;1;8;1;1;1;0;0;1;1
13000314;Barcelos;3;2;0;1;29;3;3;2;0;0;1;0
13000322;Barcelos;3;2;0;1;130;9;8;6;0;0;1;0
13000330;Barcelos;3;2;0;1;41;5;4;2;0;0;1;0
13000349;Barcelos;3;2;0;1;15;2;2;1;0;1;1;1
13000357;Barcelos;3;2;0;1;24;2;2;1;0;0;1;0
13000365;Barcelos;3;2;0;1;26;3;3;3;0;0;1;0
13000381;Barcelos;3;2;0;1;60;7;6;7;0;0;1;0
13000403;Barcelos;2;1;0;1;463;27;21;11;0;0;1;0
13000411;Barcelos;2;1;0;1;860;38;30;16;1;1;1;0
13000420;Barcelos;3;2;0;1;17;3;3;1;0;0;1;0
13000446;Barcelos;3;2;0;1;11;1;1;1;0;0;1;1
13055941;Barcelos;3;2;0;1;116;11;7;5;0;0;1;0
13055968;Barcelos;3;2;0;1;35;4;4;2;0;0;1;0
13055976;Barcelos;3;2;0;1;28;4;3;1;0;0;1;0
13055984;Barcelos;3;1;0;1;562;40;22;11;1;1;1;0
13055992;Barcelos;3;1;0;1;151;13;9;6;0;0;0;0
13056000;Barcelos;3;2;0;1;26;4;4;2;0;0;1;0
13063880;Barcelos;3;2;;2;;;;;;;;
13063995;Barcelos;3;1;0;1;107;10;7;5;0;1;1;0
13067753;Barcelos;3;2;;2;;;;;;;;
13071262;Barcelos;3;2;2;1;49;4;4;5;0;0;1;1
13071270;Barcelos;3;1;0;1;285;16;11;11;1;0;1;0
13077775;Barcelos;3;2;0;1;11;2;2;2;0;0;1;0
13079964;Barcelos;3;2;0;1;28;3;3;2;0;0;1;1
13079972;Barcelos;3;2;0;1;36;3;4;3;0;0;1;0
13083392;Barcelos;3;2;0;1;27;4;3;2;0;0;1;0
13084798;Barcelos;3;2;0;1;20;2;2;2;0;0;1;0
13084801;Barcelos;3;2;0;1;7;1;1;1;0;0;1;1
13084810;Barcelos;3;2;0;1;21;2;2;2;0;0;1;0
13084836;Barcelos;3;2;0;1;4;1;1;1;0;0;1;1
13089510;Barcelos;3;1;0;1;386;24;16;8;0;0;1;0
13089528;Barcelos;3;2;0;1;36;3;4;2;0;0;1;0
13092138;Barcelos;3;2;0;1;6;1;1;1;0;0;1;1
13093886;Barcelos;2;1;0;1;219;38;6;6;1;0;1;0
13098128;Barcelos;3;2;2;1;69;4;5;3;0;0;1;1
13099779;Barcelos;3;2;2;1;128;8;8;4;0;0;1;1
13101951;Barcelos;3;2;2;1;104;8;8;6;0;0;1;1
13104292;Barcelos;3;2;2;1;32;3;3;3;0;0;1;1
13104306;Barcelos;3;2;2;1;17;1;1;1;0;0;1;1
13104977;Barcelos;3;2;2;1;164;11;11;6;0;0;1;1
13104985;Barcelos;3;2;0;1;22;2;2;2;0;0;1;0
13107461;Barcelos;3;2;0;1;23;2;2;1;0;0;1;0
13108743;Barcelos;3;2;0;1;6;1;1;1;0;0;1;1
13108751;Barcelos;3;2;;2;;;;;;;;
13109669;Barcelos;3;2;0;1;32;3;3;2;0;0;1;0
13220276;Barcelos;2;2;0;1;364;78;51;29;1;0;1;0
13310216;Barcelos;3;2;0;1;17;2;2;1;0;0;1;1
13310224;Barcelos;3;2;0;1;48;5;4;2;0;0;1;0
13310232;Barcelos;3;2;2;1;63;6;6;4;0;0;1;1
13037943;Barreirinha;3;2;;3;;;;;;;;
13037951;Barreirinha;3;2;8;1;62;8;6;3;1;0;1;0
13037960;Barreirinha;3;2;2;1;114;11;8;5;0;0;1;0
13037978;Barreirinha;3;2;0;1;37;4;4;1;1;0;1;0
13037986;Barreirinha;3;2;8;1;55;6;5;3;1;0;1;0
13038010;Barreirinha;2;1;0;1;431;34;17;14;1;1;1;0
13038028;Barreirinha;3;2;2;1;237;15;14;7;1;0;1;0
13038036;Barreirinha;3;2;2;1;28;2;2;2;1;0;1;0
13038052;Barreirinha;3;2;8;1;23;3;2;2;0;0;1;0
13038079;Barreirinha;3;2;3;1;46;6;4;2;1;0;1;0
13038087;Barreirinha;3;2;8;1;109;11;9;5;1;0;1;0
13038109;Barreirinha;3;2;2;1;55;4;4;4;1;0;1;0
13038117;Barreirinha;3;2;8;1;50;4;4;2;1;0;1;0
13038125;Barreirinha;3;2;2;1;28;2;2;1;1;0;1;0
13038133;Barreirinha;3;2;2;1;117;9;8;5;0;0;1;0
13038141;Barreirinha;3;2;8;1;33;2;2;1;1;0;1;0
13038150;Barreirinha;3;2;8;1;10;1;1;1;1;0;1;0
13038168;Barreirinha;3;2;8;1;50;3;3;3;1;0;1;0
13038184;Barreirinha;3;2;8;1;74;6;5;3;1;0;1;0
13038192;Barreirinha;3;2;2;1;59;6;4;3;1;0;1;0
13038206;Barreirinha;3;2;8;1;55;5;5;4;0;0;1;0
13038230;Barreirinha;3;2;2;1;212;20;17;9;1;0;1;0
13038249;Barreirinha;3;2;;3;;;;;;;;
13038273;Barreirinha;3;2;8;1;58;5;4;2;0;0;1;0
13038311;Barreirinha;3;2;2;1;55;5;4;4;1;0;1;0
13038320;Barreirinha;3;2;8;1;6;1;1;2;1;0;1;0
13038338;Barreirinha;3;2;8;1;19;2;2;2;0;0;1;0
13038346;Barreirinha;3;2;;3;;;;;;;;
13038362;Barreirinha;3;2;;3;;;;;;;;
